"SITE_ID","NTL","PTL","CHLA","WSA_ECO9","Year"
"NLA06608-0439",19200,1056,377.28,"NPL",2007
"NLA06608-0440",853,182,5.46,"SPL",2007
"NLA06608-0442",6559,385,4.496,"NPL",2007
"NLA06608-0444",383,42,10.272,"CPL",2007
"NLA06608-0445",336,15,6.848,"SAP",2007
"NLA06608-0447",79,3,1.205,"SAP",2007
"NLA06608-0449",404,16,4.391,"WMT",2007
"NLA06608-0452",604,37,7.246,"SPL",2007
"NLA06608-0453",1056,48,4.314,"CPL",2007
"NLA06608-0454",367,16,3.2,"NAP",2007
"NLA06608-0456",681,29,25.098,"SPL",2007
"NLA06608-0458",947,39,15.056,"CPL",2007
"NLA06608-0459",200,8,3.984,"SAP",2007
"NLA06608-0462",194,3,NA,"UMW",2007
"NLA06608-0463",1031,82,30.72,"UMW",2007
"NLA06608-0467",788,15,12.72,"TPL",2007
"NLA06608-0468",179,8,0.643,"WMT",2007
"NLA06608-0469",191,11,3.352,"NAP",2007
"NLA06608-0470",193,8,1.512,"NAP",2007
"NLA06608-0471",839,24,5.52,"TPL",2007
"NLA06608-0472",803,78,19.2,"SAP",2007
"NLA06608-0473",714,55,36.823,"SAP",2007
"NLA06608-0479",318,14,5.296,"TPL",2007
"NLA06608-0480",194,3,1.52,"SAP",2007
"NLA06608-0483",461,4,3.84,"XER",2007
"NLA06608-0484",1519,190,126.4,"CPL",2007
"NLA06608-0511",112,13,2.352,"WMT",2007
"NLA06608-0512",2447,61,11.84,"TPL",2007
"NLA06608-0514",1009,7,3.856,"SAP",2007
"NLA06608-0515",4984,335,5.92,"NPL",2007
"NLA06608-0634",6800,288,139.68,"NPL",2007
"NLA06608-0635",224,18,5.147,"SPL",2007
"NLA06608-0637",454,21,7.408,"WMT",2007
"NLA06608-0641",737,49,25.44,"WMT",2007
"NLA06608-0659",1593,432,24.144,"TPL",2007
"NLA06608-0660",1546,8,2.904,"TPL",2007
"NLA06608-0661",601,22,25.92,"NAP",2007
"NLA06608-0662",256,12,2.968,"NAP",2007
